Loa ,Auréle Amenda ,D (C) ,Very Good ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,-
S5 ,Wnt ,Philippe Sandler ,"D (C), DM, M (C) ",Extremely Good ,7.00 ,6.90 ,5 (4) ,78% ,2.25 ,0 ,1.06 ,2.12 ,75% ,1.06 ,4.41 ,0 ,96% ,50.47 ,0.18 ,0% ,0 ,- ,- ,0.10 ,- ,0 ,0.18 ,100%
S1 ,U23 ,Aris Aksel Sörensen ,D (C) ,Superb ,6.80 ,6.87 ,4 (3) ,71% ,1.95 ,0 ,0.75 ,1.50 ,61% ,0.25 ,1.25 ,0 ,95% ,26.43 ,0.25 ,0% ,1 ,0.25 ,- ,0.18 ,- ,0 ,0.00 ,0%
S2 ,,Stepan Heidenreich ,WB (RL) ,Really Good ,6.76 ,6.60 ,1 (2) ,67% ,1.65 ,0 ,3.19 ,1.59 ,33% ,2.39 ,2.39 ,0 ,85% ,23.10 ,1.59 ,12% ,0 ,- ,- ,0.00 ,- ,0 ,- ,-
S7 ,,Luca Greco ,"AM (C), ST (C) ",Extremely Good ,6.94 ,7.00 ,7 (2) ,67% ,2.05 ,1 ,0.77 ,1.38 ,33% ,0.92 ,4.14 ,0 ,88% ,27.44 ,0.92 ,22% ,0 ,- ,- ,2.39 ,0.61 ,4 ,1.38 ,60%
- ,Bid ,Anthony Racioppi ,GK ,Quite Good ,7.22 ,7.33 ,3 ,67% ,1.75 ,1 ,0.00 ,1.33 ,0% ,0.67 ,- ,0 ,95% ,20.67 ,- ,0% ,0 ,- ,- ,0.00 ,- ,0 ,- ,-
S6 ,Wnt ,Gökay Topçu ,M (C) ,Extremely Good ,6.60 ,6.76 ,7 (3) ,60% ,1.90 ,0 ,1.39 ,1.94 ,43% ,1.11 ,3.47 ,1 ,87% ,48.40 ,1.25 ,11% ,1 ,0.14 ,0.14 ,0.25 ,0.14 ,1 ,0.14 ,25%
- ,Wnt ,Viktor Gyökeres ,AM (RLC) ,Extremely Good ,6.52 ,6.67 ,8 (2) ,60% ,2.00 ,0 ,1.30 ,1.43 ,46% ,2.34 ,3.12 ,0 ,85% ,21.85 ,0.91 ,0% ,1 ,0.13 ,0.13 ,2.64 ,0.26 ,2 ,1.43 ,52%
S9 ,Wnt ,Trevoh Chalobah ,"D (C), DM, M (C) ",Extremely Good ,6.80 ,6.89 ,2 (8) ,60% ,1.90 ,1 ,1.27 ,2.29 ,92% ,1.02 ,2.80 ,0 ,92% ,62.54 ,1.02 ,25% ,2 ,0.51 ,0.25 ,0.17 ,- ,0 ,0.51 ,50%
AMC ,,Jiri Kamensky ,M/AM (C) ,Superb ,6.64 ,6.78 ,14 (3) ,59% ,1.94 ,0 ,0.77 ,1.48 ,44% ,0.84 ,1.27 ,0 ,81% ,38.25 ,1.97 ,16% ,4 ,0.28 ,0.28 ,3.37 ,0.21 ,3 ,1.12 ,67%
DL ,,Valentino Passerini ,D (LC) ,Very Good ,6.68 ,6.80 ,3 (4) ,57% ,1.65 ,0 ,1.08 ,1.73 ,67% ,2.59 ,3.24 ,0 ,89% ,29.14 ,0.86 ,6% ,1 ,0.22 ,- ,0.00 ,- ,0 ,- ,-
S4 ,PR ,Senhor Hermes ,D/WB (L) ,Excellent ,6.64 ,6.65 ,4 (3) ,57% ,1.85 ,0 ,0.84 ,1.05 ,46% ,2.53 ,3.16 ,0 ,87% ,30.56 ,0.42 ,12% ,1 ,0.21 ,- ,0.00 ,- ,0 ,- ,-
MCL ,,Edgars Iļjins ,"DM, M (C) ",Extremely Good ,6.52 ,6.70 ,13 (3) ,56% ,1.88 ,0 ,0.71 ,1.27 ,11% ,1.03 ,3.73 ,0 ,88% ,50.12 ,0.71 ,19% ,1 ,0.08 ,0.08 ,0.52 ,- ,0 ,0.08 ,25%
- ,U23 ,Jizz Copier ,D/WB (L) ,Exceptional ,7.00 ,6.89 ,11 (2) ,54% ,1.85 ,0 ,1.04 ,1.39 ,78% ,2.44 ,4.18 ,0 ,89% ,35.72 ,1.28 ,16% ,3 ,0.35 ,- ,0.00 ,- ,0 ,- ,-
DM ,Yel ,Ramy Sobhy ,"D (C), DM ",Extremely Good ,6.62 ,6.80 ,11 (2) ,54% ,1.85 ,0 ,0.76 ,0.98 ,77% ,0.54 ,2.61 ,0 ,94% ,70.11 ,0.33 ,0% ,0 ,- ,- ,0.00 ,- ,0 ,- ,-
DR ,Wnt ,Nahuel Molina Lucero ,D/WB/M (R) ,Superb ,7.08 ,6.99 ,11 (2) ,54% ,1.69 ,0 ,0.89 ,1.48 ,35% ,2.77 ,3.06 ,0 ,90% ,35.76 ,1.58 ,13% ,1 ,0.10 ,0.10 ,0.15 ,- ,0 ,0.10 ,100%
GK ,,Borislav Radojčić ,GK ,Extremely Good ,6.96 ,7.12 ,15 ,53% ,1.73 ,1 ,1.20 ,1.40 ,0% ,0.20 ,0.07 ,0 ,86% ,24.67 ,0.07 ,0% ,0 ,- ,- ,0.00 ,- ,0 ,- ,-
AMCL ,,Essam Abdel Aty ,"AM (LC), ST (C) ",Excellent ,6.94 ,7.03 ,12 (3) ,53% ,1.73 ,2 ,1.09 ,1.34 ,41% ,1.34 ,1.59 ,0 ,85% ,26.23 ,1.01 ,10% ,1 ,0.08 ,0.08 ,3.76 ,0.50 ,6 ,1.34 ,50%
DCL ,Wnt ,Thomas Steegs ,D (RC) ,Excellent ,7.08 ,7.14 ,15 ,53% ,1.80 ,3 ,1.01 ,1.48 ,64% ,1.41 ,0.67 ,0 ,96% ,35.85 ,0.13 ,0% ,0 ,- ,- ,0.90 ,0.13 ,2 ,0.54 ,62%
DCR ,Wnt ,Koen Verstraete ,"D (RC), DM, M (C) ",Superb ,6.84 ,6.84 ,16 (1) ,53% ,1.76 ,0 ,1.16 ,1.29 ,49% ,1.10 ,1.22 ,2 ,95% ,39.49 ,- ,0% ,0 ,- ,- ,0.17 ,- ,0 ,0.00 ,0%
S8 ,Yth ,Aleksandrs Morozs ,AM (LC) ,Really Good ,7.60 ,6.66 ,2 (4) ,50% ,1.50 ,0 ,3.28 ,0.94 ,75% ,0.94 ,1.41 ,1 ,85% ,44.53 ,0.47 ,0% ,0 ,- ,- ,0.61 ,0.47 ,1 ,1.41 ,60%
- ,,Jaap Verheul ,D/WB (R) ,Excellent ,6.84 ,6.93 ,6 (2) ,50% ,1.70 ,0 ,0.92 ,1.29 ,61% ,2.21 ,3.87 ,0 ,90% ,37.18 ,1.47 ,20% ,2 ,0.37 ,- ,0.00 ,- ,0 ,- ,-
- ,Sct ,Robin Huser ,"DM, M (C) ",Extremely Good ,7.00 ,7.03 ,16 ,50% ,1.75 ,1 ,0.90 ,2.00 ,50% ,1.10 ,1.61 ,0 ,90% ,53.13 ,1.03 ,20% ,2 ,0.13 ,0.06 ,2.34 ,0.19 ,3 ,0.58 ,50%
AMCR ,Wnt ,Sontje Hansen ,"M (C), AM (RLC), ST (C) ",Extremely Poor ,7.02 ,7.05 ,9 (5) ,50% ,1.71 ,1 ,0.61 ,1.62 ,26% ,1.82 ,4.15 ,0 ,85% ,25.82 ,0.91 ,11% ,1 ,0.10 ,- ,3.91 ,0.51 ,5 ,1.21 ,60%
MCR ,PR ,Magnus Kofod ,"DM, M (C) ",Superb ,6.58 ,6.67 ,14 (2) ,50% ,1.69 ,0 ,0.82 ,1.12 ,25% ,0.82 ,3.82 ,0 ,90% ,55.89 ,1.05 ,14% ,1 ,0.07 ,- ,0.98 ,- ,0 ,0.07 ,50%
- ,,Marlon Kuzminsky ,M/AM (C) ,Really Good ,7.20 ,7.26 ,39 ,41% ,1.59 ,2 ,1.28 ,1.57 ,29% ,1.05 ,1.13 ,0 ,86% ,47.00 ,2.25 ,0% ,9 ,0.24 ,0.42 ,5.39 ,0.13 ,5 ,0.31 ,36%
- ,,Gregory Wüthrich ,D (C) ,Excellent ,6.70 ,6.70 ,2 (4) ,33% ,1.50 ,0 ,0.84 ,0.84 ,43% ,0.84 ,1.40 ,0 ,91% ,23.55 ,- ,0% ,0 ,- ,- ,0.00 ,- ,0 ,- ,-
Luis Mestre ,D/WB/M/AM (L) ,Very Good ,,6.81 ,6 (7) ,23% ,1.08 ,0 ,1.19 ,1.04 ,38% ,1.19 ,2.83 ,0 ,72% ,25.18 ,1.04 ,29% ,0 ,- ,0.30 ,0.86 ,- ,0 ,0.30 ,40%
Loa ,Siep Derks ,"M (C), AM (R) ",Excellent ,,6.73 ,1 (2) ,0% ,1.05 ,0 ,2.39 ,0.00 ,0% ,- ,3.98 ,0 ,97% ,60.53 ,- ,0% ,0 ,- ,- ,0.08 ,- ,0 ,0.80 ,100%
Loa ,Dennis Moonen ,M/AM (C) ,Extremely Good ,,6.40 ,2 (1) ,0% ,1.05 ,0 ,1.23 ,0.00 ,100% ,- ,0.62 ,0 ,83% ,32.67 ,1.23 ,0% ,0 ,- ,- ,0.00 ,- ,0 ,- ,-
U23 ,Miroslav Kucera ,M (C) ,Superb ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,-
U23 ,Ömer Başaran ,D/WB/M (R) ,Quite Good ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,-
U23 ,Dion de Rooij ,"M (RC), AM (C) ",Superb ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,-
U23 ,Dave Meulenberg ,GK ,Extremely Good ,,- ,- ,- ,- ,- ,- ,- ,0% ,- ,- ,- ,- ,- ,- ,0% ,- ,- ,- ,- ,- ,- ,- ,-
Loa ,Auréle Amenda ,D (C) ,Very Good ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,-
